Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Ali N.B., Usman M.","7202342147;26633369600;","A critical appraisal tool for systematic literature reviews in software engineering",2019,"Information and Software Technology","112",,,"48","50",,,"10.1016/j.infsof.2019.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064816057&doi=10.1016%2fj.infsof.2019.04.006&partnerID=40&md5=915d41d904a0618c23418e351550c7f5","Blekinge Institute of Technology, Karlskrona, Sweden","Ali, N.B., Blekinge Institute of Technology, Karlskrona, Sweden; Usman, M., Blekinge Institute of Technology, Karlskrona, Sweden","Context: Methodological research on systematic literature reviews (SLRs) in Software Engineering (SE) has so far focused on developing and evaluating guidelines for conducting systematic reviews. However, the support for quality assessment of completed SLRs has not received the same level of attention. Objective: To raise awareness of the need for a critical appraisal tool (CAT) for assessing the quality of SLRs in SE. To initiate a community-based effort towards the development of such a tool. Method: We reviewed the literature on the quality assessment of SLRs to identify the frequently used CATs in SE and other fields. Results: We identified that the CATs currently used is SE were borrowed from medicine, but have not kept pace with substantial advancements in the field of medicine. Conclusion: In this paper, we have argued the need for a CAT for quality appraisal of SLRs in SE. We have also identified a tool that has the potential for application in SE. Furthermore, we have presented our approach for adapting this state-of-the-art CAT for assessing SLRs in SE. © 2019 The Authors","AMSTAR; Critical appraisal tools; Quality assessment; Software engineering; Systematic literature reviews","Software engineering; AMSTAR; Community-based; Methodological research; Quality appraisals; Quality assessment; State of the art; Systematic literature review; Systematic Review; Quality management","Ali, N.B.; Blekinge Institute of TechnologySweden; email: nauman.ali@bth.se",,"Elsevier B.V.",09505849,,ISOTE,,"English","Inf Software Technol",Article,"Final",Open Access,Scopus,2-s2.0-85064816057
"Moguel E., Berrocal J., García-Alonso J.","56586255900;32667521200;55892225800;","Systematic literature review of food-intake monitoring in an aging population",2019,"Sensors (Switzerland)","19","15", 3265,"","",,4,"10.3390/s19153265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070628339&doi=10.3390%2fs19153265&partnerID=40&md5=d2a6dab9e680fea4f3ccb4e63b3adb12","University of Extremadura, Av. de la Universidad, s/n, Cáceres, 10004, Spain","Moguel, E., University of Extremadura, Av. de la Universidad, s/n, Cáceres, 10004, Spain; Berrocal, J., University of Extremadura, Av. de la Universidad, s/n, Cáceres, 10004, Spain; García-Alonso, J., University of Extremadura, Av. de la Universidad, s/n, Cáceres, 10004, Spain","The dietary habits of people directly impact their health conditions. Especially in elder populations (in 2017, 6.7% of the world’s population was over 65 years of age), these habits could lead to important-nutrient losses that could seriously affect their cognitive and functional state. Recently, a great research effort has been devoted to using different technologies and proposing different techniques for monitoring food-intake. Nevertheless, these techniques are usually generic but make use of the most innovative technologies and methodologies to obtain the best possible monitoring results. However, a large percentage of elderly people live in depopulated rural areas (in Spain, 28.1% of the elderly population lives in this type of area) with a fragile cultural and socioeconomic context. The use of these techniques in these environments is crucial to improving this group’s quality of life (and even reducing their healthcare expenses). At the same time, it is especially challenging since they have very specific and strict requirements regarding the use and application of technology. In this Systematic Literature Review (SLR), we analyze the most important proposed technologies and techniques in order to identify whether they can be applied in this context and if they can be used to improve the quality of life of this fragile collective. In this SLR, we have analyzed 326 papers. From those, 29 proposals have been completely analyzed, taking into account the characteristics and requirements of this population. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.","Aging population; Monitoring food intake; SLR","Aging population; Elderly populations; Food-intake monitoring; Innovative technology; Monitoring foods; Monitoring results; Systematic literature review; Systematic literature review (SLR); Nutrition; aged; aging; eating; epidemiology; female; health care delivery; human; male; physiologic monitoring; physiology; procedures; quality of life; rural population; Spain; very elderly; Aged; Aged, 80 and over; Aging; Delivery of Health Care; Eating; Female; Humans; Male; Monitoring, Physiologic; Quality of Life; Rural Population; Spain","Moguel, E.; University of Extremadura, Av. de la Universidad, s/n, Spain; email: enrique@unex.es",,"MDPI AG",14248220,,,"31344946","English","Sensors",Article,"Final",Open Access,Scopus,2-s2.0-85070628339
"Van Der Linden D., Hadar I.","55179221700;16306894100;","A Systematic Literature Review of Applications of the Physics of Notations",2019,"IEEE Transactions on Software Engineering","45","8", 8283537,"736","759",,2,"10.1109/TSE.2018.2802910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041491963&doi=10.1109%2fTSE.2018.2802910&partnerID=40&md5=e108a3523d6db2e05981afcb8b945e88","Department of Computer Science, University of Bristol, Bristol, BS8 1TH, United Kingdom; Department of Information Systems, University of Haifa, Haifa, 3498838, Israel","Van Der Linden, D., Department of Computer Science, University of Bristol, Bristol, BS8 1TH, United Kingdom; Hadar, I., Department of Information Systems, University of Haifa, Haifa, 3498838, Israel","INTRODUCTION: The Physics of Notations (PoN) is a theory for the design of cognitively effective visual notations, emphasizing the need for design grounded in objective and verifiable rationale. Although increasingly applied, no systematic analysis of PoN applications has yet been performed to assess the theory's efficacy in practice. OBJECTIVES: Our primary objective was to assess the scope and verifiability of PoN applications. METHOD: We performed a systematic literature review (SLR) of peer-reviewed PoN applications. We analyzed what visual notations have been evaluated and designed using the PoN, for what reasons, to what degree applications consider requirements of their notation's users, and how verifiable these applications are. RESULTS: Seventy PoN applications were analyzed. We found major differences between applications evaluating existing notations and applications designing new notations. Particularly, in the case of new notations, we found that most applications adopted the PoN with little critical thought towards it, rarely considered its suitability for a particular context, and typically treated and discussed the PoN with few, if any, verifiable details and data. CONCLUSION: The results warrant consideration for those applying the PoN to do so carefully, and show the need for additional means to guide designers in systematically applying the PoN. © 1976-2012 IEEE.","cognitive effectiveness; design rationale; physics of notations; Systematic literature review; visual notations","Flow visualization; Physics; Semantics; Unified Modeling Language; cognitive effectiveness; Complexity theory; Design rationale; Physics of notations; Systematic literature review; Visual notations; Visual languages","Van Der Linden, D.; Department of Computer Science, University of BristolUnited Kingdom; email: dirk.vanderlinden@bristol.ac.uk",,"Institute of Electrical and Electronics Engineers Inc.",00985589,,IESED,,"English","IEEE Trans Software Eng",Article,"Final",,Scopus,2-s2.0-85041491963
"Paladini S.V., Pinto G.H., Bueno R.H., Calloni R., Recamonde-Mendoza M.","57208619860;36633084400;57208632238;23007761300;37020698500;","Identification of Candidate Biomarkers for Transplant Rejection from Transcriptome Data: A Systematic Review",2019,"Molecular Diagnosis and Therapy","23","4",,"439","458",,,"10.1007/s40291-019-00397-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065308650&doi=10.1007%2fs40291-019-00397-y&partnerID=40&md5=5df1987a27f7a34f0690d9dfa7791b41","Experimental and Molecular Cardiovascular Laboratory, Experimental Research Center, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil; Post-Graduate Program in Cardiology and Cardiovascular Sciences, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil; Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio Grandense-Campus Gravataí, Gravataí, RS, Brazil; Institute of Informatics, Universidade Federal do Rio Grande do Sul, Av. Bento Gonçalves, 9500, Setor IV, Building 43424, Office 225, Porto Alegre, RS  91501-970, Brazil; Bioinformatics Core, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil","Paladini, S.V., Experimental and Molecular Cardiovascular Laboratory, Experimental Research Center, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil, Post-Graduate Program in Cardiology and Cardiovascular Sciences, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil; Pinto, G.H., Experimental and Molecular Cardiovascular Laboratory, Experimental Research Center, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil, Post-Graduate Program in Cardiology and Cardiovascular Sciences, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil; Bueno, R.H., Experimental and Molecular Cardiovascular Laboratory, Experimental Research Center, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil; Calloni, R., Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio Grandense-Campus Gravataí, Gravataí, RS, Brazil; Recamonde-Mendoza, M., Post-Graduate Program in Cardiology and Cardiovascular Sciences, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil, Institute of Informatics, Universidade Federal do Rio Grande do Sul, Av. Bento Gonçalves, 9500, Setor IV, Building 43424, Office 225, Porto Alegre, RS  91501-970, Brazil, Bioinformatics Core, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil","Background: Traditional methods for rejection control in transplanted patients are considered invasive, risky, and prone to sampling errors. Using molecular biomarkers as an alternative protocol to biopsies, for monitoring rejection may help to mitigate some of these problems, increasing the survival rates and well-being of patients. Recent advances in omics technologies provide an opportunity for screening new molecular biomarkers to identify those with clinical utility. Objective: This systematic literature review (SLR) aimed to summarize existing evidence derived from large-scale expression profiling regarding differentially expressed mRNA and miRNA in graft rejection, highlighting potential molecular biomarkers in transplantation. Methods: The study was conducted following PRISMA methodology and the BiSLR guide for performing SLR in bioinformatics. PubMed, ScienceDirect, and EMBASE were searched for publications from January 2001 to January 2018, and studies (i) aiming at the identification of transplant rejection biomarkers, (ii) including human subjects, and (iii) applying methodologies for differential expression analysis from large-scale expression profiling were considered eligible. Differential expression patterns reported for genes and miRNAs in rejection were summarized from both cross-organ and organ-specific perspectives, and pathways enrichment analysis was performed for candidate biomarkers to interrogate their functional role in transplant rejection. Results: A total of 821 references were collected, resulting in 604 studies after removal of duplicates. After application of inclusion and exclusion criteria, 33 studies were included in our analysis. Among the 1517 genes and 174 miRNAs identifed, CXCL9, CXCL10, STAT1, hsa-miR-142-3p, and hsa-miR-155 appeared to be particularly promising as biomarkers in transplantation, with an increased expression associated with transplant rejection in multiple organs. In addition, hsa-miR-28-5p was consistently decreased in samples taken from rejected organs. Conclusion: Despite the need for further research to fill existing knowledge gaps, transcriptomic technologies have a relevant role in the discovery of accurate biomarkers for transplant rejection diagnostics. Studies have reported consistent evidence of differential expression associated with transplant rejection, although issues such as experimental heterogeneity hinder a more systematic characterization of observed molecular changes. Special attention has been giving to large-scale mRNA expression profiling in rejection, whereas there is still room for improvements in the characterization of miRnome in this condition. PROSPERO Registration Number: CRD42018083321. © 2019, Springer Nature Switzerland AG.",,"biological marker; CXCL9 chemokine; gamma interferon inducible protein 10; messenger RNA; microRNA; microrna 142; microRNA 155; STAT1 protein; transcriptome; unclassified drug; biological marker; messenger RNA; microRNA; transcriptome; antibody specificity; bioinformatics; Embase; gene expression; graft rejection; human; Medline; priority journal; quality control; Review; ScienceDirect; systematic review; transplantation; animal; biology; gene expression profiling; gene expression regulation; genetics; graft rejection; meta analysis; organ transplantation; procedures; publishing; Animals; Biomarkers; Computational Biology; Gene Expression Profiling; Gene Expression Regulation; Graft Rejection; Humans; MicroRNAs; Organ Specificity; Organ Transplantation; Publication Bias; RNA, Messenger; Transcriptome","Recamonde-Mendoza, M.; Institute of Informatics, Universidade Federal do Rio Grande do Sul, Av. Bento Gonçalves, 9500, Setor IV, Building 43424, Office 225, Brazil; email: mrmendoza@inf.ufrgs.br",,"Springer International Publishing",11771062,,,"31054051","English","Mol. Diagn. Ther.",Review,"Final",,Scopus,2-s2.0-85065308650
"Goel A., Ganesh L.S., Kaur A.","57191840292;6602069862;14068810800;","Deductive content analysis of research on sustainable construction in India: current progress and future directions",2019,"Journal of Cleaner Production","226",,,"142","158",,4,"10.1016/j.jclepro.2019.03.314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064457061&doi=10.1016%2fj.jclepro.2019.03.314&partnerID=40&md5=b7270c867efa7f06974e985d352efa45","School of Construction Management, National Institute of Construction Management and Research, Pune, India; Department of Management Studies, Indian Institute of Technology Madras (IIT-M), Chennai, India","Goel, A., School of Construction Management, National Institute of Construction Management and Research, Pune, India, Department of Management Studies, Indian Institute of Technology Madras (IIT-M), Chennai, India; Ganesh, L.S., Department of Management Studies, Indian Institute of Technology Madras (IIT-M), Chennai, India; Kaur, A., Department of Management Studies, Indian Institute of Technology Madras (IIT-M), Chennai, India","The rising construction output in India and its future potential, fuelled by rapid economic growth and socio-economic transitions, has necessitated sustainability integration into lifecycles of construction projects. The imperatives and implications of this integration transcend India's boundaries by influencing the global efforts in mitigating climate change and realizing the sustainable development goals. Yet, there is lack of studies that synthesize and critically evaluate the available literature to provide an overview of the current state of sustainable construction (SC) research in India and provide directions for future research. To this end, a systematic literature review (SLR) has been undertaken here using deductive content analysis. It reveals that the current SC research endeavours are predominantly oriented towards the macro-industry level, the environmental dimension and the internal stakeholders. Additionally, more emphasis has been provided on the final project deliverable compared to the project processes. Overall, this study makes three specific contributions: i) the current thrust areas of SC research in India have been identified while pointing out the imbalance in this academic pursuit; ii) a deductive content analysis framework has been developed that provides a generic template for conducting similar SLRs in the context of other countries; and iii) multiple research gaps have been identified and suggestions to design future studies are proposed based on extant SC literature, especially from similar developing economies. Therefore, despite its Indian focus, this review allows implications for other developing economies set for a similar socio-economic transition and growth in construction output. © 2019 Elsevier Ltd","Construction industry; Deductive content analysis; Developing countries; India; Sustainable construction; Triple Bottom Line","Climate change; Construction industry; Developing countries; Economics; Construction outputs; Construction projects; Content analysis; Developing economies; India; Sustainable construction; Systematic literature review (SLR); Triple Bottom Line; Sustainable development","Goel, A.; School of Construction Management, National Institute of Construction Management and ResearchIndia; email: agoel@nicmar.ac.in",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Article,"Final",,Scopus,2-s2.0-85064457061
"Pişirir E., Uçar E., Chouseinoglou O., Sevgi C.","57209911091;56900942000;55430157200;25958387200;","Structural equation modeling in cloud computing studies: a systematic literature review",2019,"Kybernetes","49","3",,"982","1019",,,"10.1108/K-12-2018-0663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069044666&doi=10.1108%2fK-12-2018-0663&partnerID=40&md5=590d21df848c1942d59d2614c31ce176","Department of Industrial Engineering, Hacettepe University, Ankara, Turkey; Department of Computer Technology and Information Systems, Bilkent University, Ankara, Turkey","Pişirir, E., Department of Industrial Engineering, Hacettepe University, Ankara, Turkey; Uçar, E., Department of Computer Technology and Information Systems, Bilkent University, Ankara, Turkey; Chouseinoglou, O., Department of Industrial Engineering, Hacettepe University, Ankara, Turkey; Sevgi, C., Department of Computer Technology and Information Systems, Bilkent University, Ankara, Turkey","Purpose: This study aims to examine the current state of literature on structural equation modeling (SEM) studies in “cloud computing” domain with respect to study domains of research studies, theories and frameworks they use and SEM models they design. Design/methodology/approach: Systematic literature review (SLR) protocol is followed. In total, 96 cloud computing studies from 2009 to June 2018 that used SEM obtained from four databases are selected, and relevant data are extracted to answer the research questions. Findings: A trend of increasing SEM usage over years in cloud studies is observed, where technology adoption studies are found to be more common than the use studies. Articles appear under four main domains, namely, business, personal use, education and health care. Technology acceptance model (TAM) is found to be the most commonly used theory. Adoption, intention to use and actual usage are the most common selections for dependent variables in SEM models, whereas security and privacy concerns, costs, ease of use, risks and usefulness are the most common selections for causal factors. Originality/value: Previous cloud computing SLR studies did not focus on statistical analysis method used in primary studies. This review will display the current state of SEM studies in cloud domain for all future academics and practical professionals. © 2019, Emerald Publishing Limited.","Cloud computing; Continuous technology usage; Structural equation modeling; Systematic literature review; Technology adoption","Cloud computing; Design/methodology/approach; Statistical analysis methods; Structural equation modeling; Systematic literature review; Systematic literature review (SLR); Technology acceptance model; Technology adoption; Technology usages; Computation theory","Pişirir, E.; Department of Industrial Engineering, Hacettepe UniversityTurkey; email: erhanpisirir@hacettepe.edu.tr",,"Emerald Group Publishing Ltd.",0368492X,,,,"English","Kybernetes",Review,"Final",,Scopus,2-s2.0-85069044666
"Desmond D.B., Lacey D., Salmon P.","57210146319;7102139645;12781670000;","Evaluating cryptocurrency laundering as a complex socio-technical system: A systematic literature review",2019,"Journal of Money Laundering Control","22","3",,"480","497",,3,"10.1108/JMLC-10-2018-0063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069727867&doi=10.1108%2fJMLC-10-2018-0063&partnerID=40&md5=7d2ea18da22fba5cb26ae0e1170d91db","Centre for Human Factors and Sociotechnical Systems, University of the Sunshine Coast, Sunshine Coast, Australia","Desmond, D.B., Centre for Human Factors and Sociotechnical Systems, University of the Sunshine Coast, Sunshine Coast, Australia; Lacey, D., Centre for Human Factors and Sociotechnical Systems, University of the Sunshine Coast, Sunshine Coast, Australia; Salmon, P., Centre for Human Factors and Sociotechnical Systems, University of the Sunshine Coast, Sunshine Coast, Australia","Purpose: The purpose of this paper is to present the findings from a literature review, which aimed to identify previous studies evaluating cryptolaundering from a systems thinking perspective. The aim of this paper is to first confirm that cryptolaundering systems can indeed be defined as complex socio-technical systems and second to present the findings from a systematic review of the literature to determine the extent to which previous research has adopted a systems thinking perspective. Design/methodology/approach: The study involved a SLR of studies published in the peer-reviewed literature between 2009 and 2018. Rasmussen’s risk management framework (Rasmussen, 1997) was used to evaluate the extent to which a systems thinking perspective had been adopted. Findings: The cryptolaundering process is considered to be a complex socio-technical system. The review demonstrates that no previous studies have defined cryptolaundering as a complex socio-technical system or used systems thinking framework approach to evaluate how criminals, regulatory bodies or law enforcement entities understand processes and assess risk within cryptolaundering systems. It is argued that using such an approach to the cryptolaundering process would likely improve assessing criminal risk analyses of cryptolaundering and assist law enforcement and regulatory bodies with understanding risk management during the laundering of cryptocurrencies. Originality/value: Future assessments of cryptolaundering using socio-technical system analytical processes may afford law enforcement and regulatory bodies the opportunity to improve intervention techniques and identify gaps in regulations and enforcement. © 2019, Emerald Publishing Limited.","Cryptocurrency; Money laundering; Socio-technical systems",,"Desmond, D.B.; Centre for Human Factors and Sociotechnical Systems, University of the Sunshine Coast, Sunshine CoastAustralia; email: dennis.desmond@research.usc.edu.au",,"Emerald Group Publishing Ltd.",13685201,,,,"English","J. Money Laund. Control",Review,"Final",,Scopus,2-s2.0-85069727867
"Kurniawan C., Rosmansyah Y., Dabarsyah B.","57216781795;56502202000;6505888067;","A Systematic Literature Review on Virtual Reality for Learning",2019,"Proceeding of 2019 5th International Conference on Wireless and Telematics, ICWT 2019",,, 8978263,"","",,,"10.1109/ICWT47785.2019.8978263","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084645145&doi=10.1109%2fICWT47785.2019.8978263&partnerID=40&md5=724bad35837785e1b62fa12acc476935","Institut Teknologi Bandung, School of Electrical Engineering and Informatics, Bandung, Indonesia","Kurniawan, C., Institut Teknologi Bandung, School of Electrical Engineering and Informatics, Bandung, Indonesia; Rosmansyah, Y., Institut Teknologi Bandung, School of Electrical Engineering and Informatics, Bandung, Indonesia; Dabarsyah, B., Institut Teknologi Bandung, School of Electrical Engineering and Informatics, Bandung, Indonesia","Learning can be performed in various ways and can utilize different technologies. This paper presents a review of current and previous research to understand the use of virtual reality technology for learning. This paper used a systematic literature review (SLR) as a method. Research question (RQ) was determined in the first step. The query for searching the previous research on popular database journals was generated from previously created RQ. Popular journals included IEEE Xplore, ScienceDirect, SpringerLink, Scopus, and ACM Digital Library. Thirty-two related articles were produced from the search, then reviewed. The study concluded that there were four purposes of using virtual reality for learning, two types of devices used, and two types of user experiences. © 2019 IEEE.","learning; systematic literature review; virtual reality","Digital libraries; Query processing; User experience; Virtual reality; Database journals; Research questions; Systematic literature review; Systematic literature review (SLR); Virtual reality technology; E-learning",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728147963,,,"English","Proceeding Int. Conf. Wirel. Telemat., ICWT",Conference Paper,"Final",,Scopus,2-s2.0-85084645145
"Rozi F., Rosmansyah Y., Dabarsyah B.","57217028728;56502202000;6505888067;","A Systematic Literature Review on Adaptive Gamification: Components, Methods, and Frameworks",2019,"Proceedings of the International Conference on Electrical Engineering and Informatics","2019-July",, 8988857,"187","190",,,"10.1109/ICEEI47359.2019.8988857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085866938&doi=10.1109%2fICEEI47359.2019.8988857&partnerID=40&md5=89c8a039a24d00f1848460127275e397","School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia","Rozi, F., School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; Rosmansyah, Y., School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; Dabarsyah, B., School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia","Nowadays, learning technologies have solved problems of distance, time, and cost in learning. However, another problem with e-learning, which is lack of student motivation, still remains. Some researchers must apply gamification in e-learning with the aim of giving participation and increasing student motivation. Characteristics of different users, the same learning content, and static gamification elements do not increase the expected motivation. To overcome this problem, gamification must be adapted to the characteristics of the learners. This study uses a Systematic Literature Review (SLR) to analyze research components, methods, and framework used in adaptive gamification. The first step is to determine the research question (RQ) and then to search on several kinds of literature published in popular journal databases, namely IEEE Xplore, Science Direct, Scopus, Springerlink and ACM from 2011 - 2019. As a result of a review of 25 selected articles, there are four components of adaptive gamification, namely, player/learner profiles, learning style, behavior, and skill/knowledge. Meanwhile, there are eleven types of methods used in adaptive gamification. The most popular method is scoring and Felder-Silverman Learning Style Model (FSLSM). Generally, the proposed framework consists of three elements namely adaptive gamification engine, adaptive component, and gamification display. © 2019 IEEE.","adaptive; e-learning; gamification; SLR; systematic literature review","E-learning; Motivation; Adaptive components; Learning contents; Learning Style; Learning technology; Research questions; Student motivation; Systematic literature review; Systematic literature review (SLR); Gamification",,,"Institute of Electrical and Electronics Engineers Inc.",21556830,9781728124186,,,"English","Proceeding Int. Conf. Electr. Eng. Inf., ICEEI",Conference Paper,"Final",,Scopus,2-s2.0-85085866938
"Widyassari A.P., Noersasongko E., Syukur A., Affandy, Fanani A.Z., Basuki R.S.","57213686047;43061422600;55746556500;45060951300;57205446141;56622972000;","Literature review of automatic text summarization: Research trend, dataset and method",2019,"2019 International Conference on Information and Communications Technology, ICOIACT 2019",,, 8938454,"491","496",,,"10.1109/ICOIACT46704.2019.8938454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077964151&doi=10.1109%2fICOIACT46704.2019.8938454&partnerID=40&md5=579a3e64594b1e666b49d6fe973d7784","Program Doktor Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia","Widyassari, A.P., Program Doktor Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Noersasongko, E., Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Syukur, A., Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Affandy, Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Fanani, A.Z., Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia; Basuki, R.S., Fakultas Ilmu Komputer, Universitas Dian Nuswantoro, Semarang, Indonesia","Automatic text summarization can be defined as the process of presenting one or more text documents while maintaining the main information content using an automatic machine with no more than half the original text or less than the original text. Research in the field of text summarization began in the 1950s and until now there is no system that can produce summaries such as professionals or humans. This paper aims to identify and analyze methods, datasets and trends in automatic text summarization research from 2015 to 2019. The method used a systematic literature review (SLR) about automatic text summarization. The results obtained are that research on automatic text summarization is still relevant to date. The extractive approach is still in demand in the past three years because the extractive is easier than abstractive and the opportunity to combine methods is still open, for example using a neuro computing approach, namely the emergence of a new DQN method (Deep Q-Network) which shows comparable results and even better. The text summarization research trend has also undergone a slight change in the past three years where new things have emerged that are trends that are leading to optimization, how to optimize text summarization performance in order to get high accuracy. © 2019 IEEE","Automatic text summarization; Dataset; Method; SLR; Trend research","Automatic machines; Automatic text summarization; Dataset; Extractive approach; Information contents; Method; Systematic literature review (SLR); Text summarization; Text processing",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728116556,,,"English","Int. Conf. Inf. Commun. Technol., ICOIACT",Conference Paper,"Final",,Scopus,2-s2.0-85077964151
"Ahmad N.A., Drus S.M., Bakar N.A.A.","57205237822;56330463900;56330254700;","Enterprise architecture adoption issues and challenges: A systematic literature review",2019,"Indonesian Journal of Electrical Engineering and Computer Science","15","1",,"399","408",,3,"10.11591/ijeecs.v15.i1.pp399-408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066145645&doi=10.11591%2fijeecs.v15.i1.pp399-408&partnerID=40&md5=2b5327763b8cee52f11a1172342d572a","Informatics Department, College of Computing and Informatics at, Universiti Tenaga Nasional, Malaysia; Faculty of Technology and Informatics, Universiti Teknologi Malaysia (UTM AIS), Malaysia","Ahmad, N.A., Informatics Department, College of Computing and Informatics at, Universiti Tenaga Nasional, Malaysia; Drus, S.M., Informatics Department, College of Computing and Informatics at, Universiti Tenaga Nasional, Malaysia; Bakar, N.A.A., Faculty of Technology and Informatics, Universiti Teknologi Malaysia (UTM AIS), Malaysia","This article on Systematic Literature Review (SLR) provides the issues and challenges faced by organizations when adopting EA. Firstly, a review of literature that discusses the problems and challenges was undertaken. Methods and theories adopted were reviewed to identify the existing approach and perspective on resulting factors that influenced EA adoption. Based on the inclusion and exclusion criteria defined in the review process, 16 articles were selected. A total of 19 challenges and problems were identified such as EA misconceptions, overlapping organizational rules, unclear leadership as well as lack of business and IT alignment. A sum of 15 factors from multidimensional contexts that influenced the EA adoption in the organization were also discussed, such as top management support, governance, communication as well as EA knowledge and skill. This SLR also reflected that there were relatively little empirical studies conducted on EA adoption studies. The existing studies tend to apply single and multiple theories from the organization and management domains in one study. By understanding such issues and challenges, risks can be reduced and avoided when introducing EA to organizations, and subsequently ease the deployment process. Thus, this article may shed light on understanding the organizational-related factors and the underlying relationships of EA adoption. As a result, an effective adoption of EA can be facilitated in the organizations. Copyright © 2019 Institute of Advanced Engineering and Science.","Adoption; EA Challenges; EA Issues; Enterprise Architecture; Systematic Literature Review",,"Ahmad, N.A.; Department of Informatics, College of Computing and Informatics, Universiti Tenaga Nasional PutrajayaMalaysia; email: norazizah.ahmad@gmail.com",,"Institute of Advanced Engineering and Science",25024752,,,,"English","Indones. J. Electrical Eng. Comput. Sci.",Article,"Final",Open Access,Scopus,2-s2.0-85066145645
