Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Xu K., Zeng Y., Zhang Q., Yin Q., Sun L., Xiao K.","56828524300;57209278546;56520586200;23096547400;57209284133;56419405500;","Online probabilistic goal recognition and its application in dynamic shortest-path local network interdiction",2019,"Engineering Applications of Artificial Intelligence","85",,,"57","71",,,"10.1016/j.engappai.2019.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067169848&doi=10.1016%2fj.engappai.2019.05.009&partnerID=40&md5=88544050dbd7a3f858f31b6957bab2a3","College of Systems Engineering, National University of Defense Technology, Changsha, China; Joint Service College, National Defense University, Beijing, China; Science and Technology on Information Systems Engineering Laboratory, College of System Engineering, National University of Defense Technology, Changsha, China","Xu, K., College of Systems Engineering, National University of Defense Technology, Changsha, China; Zeng, Y., College of Systems Engineering, National University of Defense Technology, Changsha, China; Zhang, Q., College of Systems Engineering, National University of Defense Technology, Changsha, China; Yin, Q., College of Systems Engineering, National University of Defense Technology, Changsha, China; Sun, L., Joint Service College, National Defense University, Beijing, China; Xiao, K., Science and Technology on Information Systems Engineering Laboratory, College of System Engineering, National University of Defense Technology, Changsha, China","Behavior modeling; Goal recognition; Network interdiction","Graph theory; Inverse problems; Probability distributions; Reinforcement learning; Behavior model; Dynamic shortest path; Effectiveness of knowledge; Goal recognition; Inverse reinforcement learning; Network interdiction; Network interdiction problems; Probabilistic distribution; Heuristic methods",Article,"Final",,Scopus,2-s2.0-85067169848
"Self R., Harlan M., Kamalapurkar R.","57209273510;57211021537;55210138200;","Online inverse reinforcement learning for nonlinear systems",2019,"CCTA 2019 - 3rd IEEE Conference on Control Technology and Applications",,, 8920458,"296","301",,,"10.1109/CCTA.2019.8920458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077788456&doi=10.1109%2fCCTA.2019.8920458&partnerID=40&md5=01d76d0016785e22e56072bea9e4fe04","Oklahoma State University, School of Mechanical and Aerospace Engineering, Still-Water, OK, United States","Self, R., Oklahoma State University, School of Mechanical and Aerospace Engineering, Still-Water, OK, United States; Harlan, M., Oklahoma State University, School of Mechanical and Aerospace Engineering, Still-Water, OK, United States; Kamalapurkar, R., Oklahoma State University, School of Mechanical and Aerospace Engineering, Still-Water, OK, United States",,"Machine learning; Nonlinear systems; Online systems; Reinforcement learning; Input trajectory; Inverse reinforcement learning; Reward function; Theoretical guarantees; Unknown values; E-learning",Conference Paper,"Final",,Scopus,2-s2.0-85077788456
"Ahlberg S., Dimarogonas D.V.","57211204477;6506281602;","Human-in-the-loop control synthesis for multi-agent systems under hard and soft metric interval temporal logic specifications∗",2019,"IEEE International Conference on Automation Science and Engineering","2019-August",, 8842954,"788","793",,,"10.1109/COASE.2019.8842954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072955571&doi=10.1109%2fCOASE.2019.8842954&partnerID=40&md5=897b7dc4962c14d4c76b9233b734410b","Division of Decision and Control Systems, KTH Royal Institute of Technology, Sweden","Ahlberg, S., Division of Decision and Control Systems, KTH Royal Institute of Technology, Sweden; Dimarogonas, D.V., Division of Decision and Control Systems, KTH Royal Institute of Technology, Sweden",,"Control system synthesis; Reinforcement learning; Temporal logic; Control synthesis; Hard and soft constraints; Human-in-the-loop control; Interval temporal logic; Inverse reinforcement learning; Mixed initiative; Optimal paths; Soft constraint; Multi agent systems",Conference Paper,"Final",,Scopus,2-s2.0-85072955571
"Pauna A., Bica I., Pop F., Castiglione A.","55360454800;36343237100;22836395600;16027997000;","On the rewards of self-adaptive IoT honeypots",2019,"Annales des Telecommunications/Annals of Telecommunications","74","7-8",,"501","515",,,"10.1007/s12243-018-0695-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059537479&doi=10.1007%2fs12243-018-0695-7&partnerID=40&md5=1dfaadfd843d037fe93c6cd53acf0945","Faculty of Military Electronic and Information Systems, Military Technical Academy, Bucharest, Romania; Faculty of Automatic Control and Computers, “Politehnica” University of Bucharest, Bucharest, Romania; National Institute for Research and Development in Informatics (ICI), Bucharest, Romania; Department of Computer Science, University of Salerno, Fisciano, SA, Italy","Pauna, A., Faculty of Military Electronic and Information Systems, Military Technical Academy, Bucharest, Romania; Bica, I., Faculty of Military Electronic and Information Systems, Military Technical Academy, Bucharest, Romania; Pop, F., Faculty of Automatic Control and Computers, “Politehnica” University of Bucharest, Bucharest, Romania, National Institute for Research and Development in Informatics (ICI), Bucharest, Romania; Castiglione, A., Department of Computer Science, University of Salerno, Fisciano, SA, Italy","Honeypot systems; Internet of things; Inverse reinforcement learning; Neural network; Reinforcement learning; Self-adaptive honeypot systems","Learning algorithms; Network security; Neural networks; Reinforcement learning; Risk assessment; Apprenticeship learning; Honeypots; Inverse reinforcement learning; Iot devices; Key Issues; Optimal reward; Reward function; Self-Adaptive; Internet of things",Article,"Final",,Scopus,2-s2.0-85059537479
"Gao X., Zhao X., Tan M.","57211203891;55648474000;14034568900;","Modeling socially normative navigation behaviors from demonstrations with inverse reinforcement learning",2019,"IEEE International Conference on Automation Science and Engineering","2019-August",, 8843123,"1333","1340",,,"10.1109/COASE.2019.8843123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072957301&doi=10.1109%2fCOASE.2019.8843123&partnerID=40&md5=a9f596cf82e9e64e691001686d791779","State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China; University of Chinese Academy of Sciences, Beijing, 100049, China","Gao, X., State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Zhao, X., State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China; Tan, M., State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China",,"Air navigation; Behavioral research; Cost functions; Demonstrations; Inverse problems; Learning algorithms; Machine learning; Navigation; Robots; Trajectories; Discrete distribution; Dynamic obstacles; Human navigation; Inverse reinforcement learning; Motion planners; Navigation behavior; Social navigation; State-of-the-art methods; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85072957301
"Ashida K., Kato T., Hotta K., Oka K.","57204919943;57208750954;7202730545;7201489853;","Multiple tracking and machine learning reveal dopamine modulation for area-restricted foraging behaviors via velocity change in Caenorhabditis elegans",2019,"Neuroscience Letters","706",,,"68","74",,1,"10.1016/j.neulet.2019.05.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065714065&doi=10.1016%2fj.neulet.2019.05.011&partnerID=40&md5=9ad5c6c0707c68bcea841a485614818a","Department of Bioscience and Informatics, Faculty of Science and Technology, Keio University, Yokohama, 223-8522, Japan; Graduate Institute of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung City, 80708, Taiwan; Waseda Research Institute for Science and Engineering, Waseda University, 2-2 Wakamatsucho, Shinjuku, Tokyo  162-8480, Japan","Ashida, K., Department of Bioscience and Informatics, Faculty of Science and Technology, Keio University, Yokohama, 223-8522, Japan; Kato, T., Department of Bioscience and Informatics, Faculty of Science and Technology, Keio University, Yokohama, 223-8522, Japan; Hotta, K., Department of Bioscience and Informatics, Faculty of Science and Technology, Keio University, Yokohama, 223-8522, Japan; Oka, K., Department of Bioscience and Informatics, Faculty of Science and Technology, Keio University, Yokohama, 223-8522, Japan, Graduate Institute of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung City, 80708, Taiwan, Waseda Research Institute for Science and Engineering, Waseda University, 2-2 Wakamatsucho, Shinjuku, Tokyo  162-8480, Japan","Area-restricted search; Behavioral assay; Dopamine; Foraging; Inverse reinforcement learning; Machine learning","dopamine; dopamine; Article; Caenorhabditis elegans; controlled study; dopamine metabolism; foraging behavior; machine learning; nonhuman; priority journal; reinforcement; velocity; animal; appetitive behavior; Caenorhabditis elegans; drug effect; transgenic animal; Animals; Animals, Genetically Modified; Appetitive Behavior; Caenorhabditis elegans; Dopamine; Machine Learning; Reinforcement, Psychology",Article,"Final",,Scopus,2-s2.0-85065714065
"Oh M.-H., Iyengar G.","56939849000;7005191853;","Sequential anomaly detection using inverse reinforcement learning",2019,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"1480","1490",,,"10.1145/3292500.3330932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071146603&doi=10.1145%2f3292500.3330932&partnerID=40&md5=528a1e6194f6c36b5b0d7bad8675655f","Columbia University, New York, NY, United States","Oh, M.-H., Columbia University, New York, NY, United States; Iyengar, G., Columbia University, New York, NY, United States","Anomaly detection; Bootstrap; Inverse reinforcement learning; Neural networks; Outlier detection; Spatial-temporal data","Bayesian networks; Data mining; Decision making; Inverse problems; Machine learning; Neural networks; Reinforcement learning; Safety engineering; Anomaly detection methods; Application scenario; Automatic detection systems; Bootstrap; Critical environment; Decision making agents; Inverse reinforcement learning; Spatial-temporal data; Anomaly detection",Conference Paper,"Final",,Scopus,2-s2.0-85071146603
"Piao S., Huang Y., Liu H.","57211741412;57211277745;35272617500;","Online multi-modal imitation learning via lifelong intention encoding",2019,"2019 4th IEEE International Conference on Advanced Robotics and Mechatronics, ICARM 2019",,, 8833960,"786","792",,,"10.1109/ICARM.2019.8833960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073232592&doi=10.1109%2fICARM.2019.8833960&partnerID=40&md5=a6d7d90c008261e5828d799e4d65519a","School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China","Piao, S., School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Huang, Y., School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Liu, H., Department of Computer Science and Technology, Tsinghua University, Beijing, China",,"E-learning; Encoding (symbols); Inverse problems; Machine learning; Robotics; Signal encoding; Imitation learning; Inverse reinforcement learning; Multi-modal; Reward function; Robotic manipulation; Sparse coding; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85073232592
"Imani M., Braga-Neto U.M.","57189031055;6603390822;","Control of gene regulatory networks using bayesian inverse reinforcement learning",2019,"IEEE/ACM Transactions on Computational Biology and Bioinformatics","16","4", 3370654,"1250","1261",,5,"10.1109/TCBB.2018.2830357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046001548&doi=10.1109%2fTCBB.2018.2830357&partnerID=40&md5=6da59589d88f5f109056eebaf9f54ed5","Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX  77843, United States","Imani, M., Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX  77843, United States; Braga-Neto, U.M., Department of Electrical and Computer Engineering, Texas A and M University, College Station, TX  77843, United States","Bayesian inverse reinforcement learning; Boolean Kalman smoother; Gene regulatory networks; Melanoma; P53-MDM2; Partially-observed Boolean dynamical system; Q-learning","Bayesian networks; Boolean functions; Cost functions; Costs; Dermatology; Dynamical systems; Gene expression; Inverse problems; Learning algorithms; Oncology; State feedback; Boolean dynamical systems; Gene regulatory networks; Inverse reinforcement learning; Kalman smoother; Melanoma; p53-MDM2; Q-learning; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85046001548
"Zhuansun S., Yang J.-A., Liu H.","57202022207;9737323800;56125442700;","Apprenticeship learning in cognitive jamming",2019,"Optimal Control Applications and Methods","40","4",,"647","658",,,"10.1002/oca.2502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063507637&doi=10.1002%2foca.2502&partnerID=40&md5=4df1fe33eb13cf892375d0e3a61546d0","Electronic Countermeasure Institute, National University of Defense Technology, Hefei, China; Key Laboratory of Electronic Restriction, Hefei, China","Zhuansun, S., Electronic Countermeasure Institute, National University of Defense Technology, Hefei, China, Key Laboratory of Electronic Restriction, Hefei, China; Yang, J.-A., Electronic Countermeasure Institute, National University of Defense Technology, Hefei, China, Key Laboratory of Electronic Restriction, Hefei, China; Liu, H., Electronic Countermeasure Institute, National University of Defense Technology, Hefei, China, Key Laboratory of Electronic Restriction, Hefei, China","cognitive jamming; inverse reinforcement learning; jamming strategy; Markov decision process; reinforcement learning","Apprentices; Electronic warfare; Inverse problems; Jamming; Learning algorithms; Machine learning; Markov processes; Transmitters; Apprenticeship learning; Changing environment; Cognitive jamming; Complete information; Inverse reinforcement learning; Jamming strategies; Markov Decision Processes; Number of iterations; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85063507637
"Noothigattu R., Bouneffouf D., Mattei N., Chandra R., Madan P., Varshney K.R., Campbell M., Singh M., Rossi F.","57191410942;55210872800;35234406800;57211758567;57211752662;14069407800;7403371273;55443750200;56066648900;","Teaching AI agents ethical values using reinforcement learning and policy orchestration",2019,"IBM Journal of Research and Development","63","4-5", 8827920,"","",,1,"10.1147/JRD.2019.2940428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074918441&doi=10.1147%2fJRD.2019.2940428&partnerID=40&md5=5d489dd9ae188985211978aa0b8dff6f","IBM Research, Cambridge, MA  02142, United States","Noothigattu, R., IBM Research, Cambridge, MA  02142, United States; Bouneffouf, D., IBM Research, Cambridge, MA  02142, United States; Mattei, N., IBM Research, Cambridge, MA  02142, United States; Chandra, R., IBM Research, Cambridge, MA  02142, United States; Madan, P., IBM Research, Cambridge, MA  02142, United States; Varshney, K.R., IBM Research, Cambridge, MA  02142, United States; Campbell, M., IBM Research, Cambridge, MA  02142, United States; Singh, M., IBM Research, Cambridge, MA  02142, United States; Rossi, F., IBM Research, Cambridge, MA  02142, United States",,"Machine learning; Reinforcement learning; Constraint-based; Contextual bandits; Cyber physicals; Ethical values; Implicit constraints; Inverse reinforcement learning; Pac-man; Time step; Autonomous agents",Article,"Final",,Scopus,2-s2.0-85074918441
