Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,Document Type,Publication Stage,Access Type,Source,EID
"Harry R.S., Joseph R.","57212561191;57203911242;","Enhancements in anomaly detection in body sensor networks",2019,"Proceedings - 22nd IEEE International Conference on Computational Science and Engineering and 17th IEEE International Conference on Embedded and Ubiquitous Computing, CSE/EUC 2019",,, 8919557,"384","389",,,"10.1109/CSE/EUC.2019.00079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077074299&doi=10.1109%2fCSE%2fEUC.2019.00079&partnerID=40&md5=f9eb5ef007d945ba27d18bc04b31d82d","Dept. of Electronics and Communications, Christ University, Bangalore, India; Dept. of Electrical Engineering, IIT Madras, Chennai, India","Harry, R.S., Dept. of Electronics and Communications, Christ University, Bangalore, India; Joseph, R., Dept. of Electrical Engineering, IIT Madras, Chennai, India","Anomaly detection; Body sensor networks; Machine learning","Anomaly detection; Biosensors; Health care; Learning systems; Machine learning; Ubiquitous computing; Body sensor networks (BSNs); Faulty sensor; Machine learning methods; Medical treatment; Monitoring network; Real time tracking; Sensor measurements; Body sensor networks",,Conference Paper,"Final",,Scopus,2-s2.0-85077074299
"Zhang X., Zhang L., Li D.","57212044881;57204564775;57211405974;","Transmission Line Abnormal Target Detection Based on Machine Learning Yolo V3",2019,"International Conference on Advanced Mechatronic Systems, ICAMechS","2019-August",, 8861617,"344","348",,,"10.1109/ICAMechS.2019.8861617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073807476&doi=10.1109%2fICAMechS.2019.8861617&partnerID=40&md5=15cbca6f878e10ba53e81c8152056737","Beijing Institute of Technology, Zhuhai Institute, Zhuhai, 519000, China; University of Electronic Science and Technology, Zhongshan Institute, Zhongshan, 528400, China; College of Information Engineering, Shanghai Maritime University, Shanghai, China","Zhang, X., Beijing Institute of Technology, Zhuhai Institute, Zhuhai, 519000, China; Zhang, L., University of Electronic Science and Technology, Zhongshan Institute, Zhongshan, 528400, China; Li, D., College of Information Engineering, Shanghai Maritime University, Shanghai, China","anomaly detection; convolutional neural network; machine learning; power monitoring; Yolo V3 algorithm","Anomaly detection; Damage detection; Intrusion detection; Learning algorithms; Learning systems; Neural networks; Security systems; Abnormal target detections; Construction vehicle; Convolutional neural network; External intrusion; Line operations; Normal operations; Power monitoring; Video surveillance systems; Machine learning",,Conference Paper,"Final",,Scopus,2-s2.0-85073807476
"Lafram I., El Idrissi S., Marrhich A., Berbiche N., El Alami J.","57200449138;57200217320;57210730061;57193777260;55987066300;","Network data classification through artificial neural networks and GenClust++ algorithm",2019,"International Journal of Innovative Technology and Exploring Engineering","8","10",,"2743","2750",,,"10.35940/ijitee.J9565.0881019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071323508&doi=10.35940%2fijitee.J9565.0881019&partnerID=40&md5=f0ce17b49dd8c905da845e0a3b44a818","LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco","Lafram, I., LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco; El Idrissi, S., LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco; Marrhich, A., LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco; Berbiche, N., LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco; El Alami, J., LASTIMI Laboratory, Superior School of Technologies of Sale, Mohammadia School of engineering, Mohamed V University city of Rabat, Morocco","Artificial neural networks; Clustering; GenClust++; Intrusion detection; Machine learning; Traffic classification",,,Article,"Final",Open Access,Scopus,2-s2.0-85071323508
"Cosovic M., Junuz E.","56582117800;26658309700;","BGP anomaly prediction using ensemble learning",2019,"International Journal of Machine Learning and Computing","9","4",,"452","457",,,"10.18178/ijmlc.2019.9.4.825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071297343&doi=10.18178%2fijmlc.2019.9.4.825&partnerID=40&md5=b0d7a1ad42da7b6ec70180fb9c7295ea","University of East Sarajevo, Faculty of Electrical Engineering, Istocno Sarajevo, Bosnia and Herzegovina; Dzemal Bijedic University, Faculty of Information Technology, Mostar, Bosnia and Herzegovina","Cosovic, M., University of East Sarajevo, Faculty of Electrical Engineering, Istocno Sarajevo, Bosnia and Herzegovina; Junuz, E., Dzemal Bijedic University, Faculty of Information Technology, Mostar, Bosnia and Herzegovina","Bagging; BGP; Boosting; Random forest",,,Article,"Final",Open Access,Scopus,2-s2.0-85071297343
"Athanesious J.J., Chakkaravarthy S.S., Vasuhi S., Vaidehi V.","57191358900;56437720400;19934589700;6602516676;","Trajectory based abnormal event detection in video traffic surveillance using general potential data field with spectral clustering",2019,"Multimedia Tools and Applications","78","14",,"19877","19903",,,"10.1007/s11042-019-7332-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068879885&doi=10.1007%2fs11042-019-7332-y&partnerID=40&md5=0ea34f950ecd769b121f194bb52cf801","Department of Electronics Engineering, Madras Institute of Technology, Chromepet, Chennai, India; School of Computing Science and Engineering, VIT University, Chennai, India","Athanesious, J.J., Department of Electronics Engineering, Madras Institute of Technology, Chromepet, Chennai, India; Chakkaravarthy, S.S., Department of Electronics Engineering, Madras Institute of Technology, Chromepet, Chennai, India; Vasuhi, S., Department of Electronics Engineering, Madras Institute of Technology, Chromepet, Chennai, India; Vaidehi, V., School of Computing Science and Engineering, VIT University, Chennai, India","Abnormal detection; Dynamic time warping; General potential data field; Impact factor matrix; Spatial trajectory data; Spectral clustering","Clustering algorithms; Decision theory; Highway traffic control; Security systems; Trajectories; Abnormal detection; Data fields; Dynamic time warping; Impact factor; Spatial trajectory; Spectral clustering; Anomaly detection","Athanesious, J.J.; Department of Electronics Engineering, Madras Institute of Technology, Chromepet, India; email: joathenz@mitindia.edu",Article,"Final",,Scopus,2-s2.0-85068879885
"Oh M.-H., Iyengar G.","56939849000;7005191853;","Sequential anomaly detection using inverse reinforcement learning",2019,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"1480","1490",,,"10.1145/3292500.3330932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071146603&doi=10.1145%2f3292500.3330932&partnerID=40&md5=528a1e6194f6c36b5b0d7bad8675655f","Columbia University, New York, NY, United States","Oh, M.-H., Columbia University, New York, NY, United States; Iyengar, G., Columbia University, New York, NY, United States","Anomaly detection; Bootstrap; Inverse reinforcement learning; Neural networks; Outlier detection; Spatial-temporal data","Bayesian networks; Data mining; Decision making; Inverse problems; Machine learning; Neural networks; Reinforcement learning; Safety engineering; Anomaly detection methods; Application scenario; Automatic detection systems; Bootstrap; Critical environment; Decision making agents; Inverse reinforcement learning; Spatial-temporal data; Anomaly detection",,Conference Paper,"Final",,Scopus,2-s2.0-85071146603
"Zhao L., Shi G.","23112107400;7402432768;","Maritime Anomaly Detection using Density-based Clustering and Recurrent Neural Network",2019,"Journal of Navigation","72","4",,"894","916",,,"10.1017/S0373463319000031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061272778&doi=10.1017%2fS0373463319000031&partnerID=40&md5=d821e77aacba60003e5a347f01190193","Navigation College, Dalian Maritime University, Dalian, China","Zhao, L., Navigation College, Dalian Maritime University, Dalian, China; Shi, G., Navigation College, Dalian Maritime University, Dalian, China","Anomaly detection; DBSCAN; Recurrent neural network; Vessel Trajectories","algorithm; anomaly; artificial neural network; cluster analysis; detection method; trajectory; vessel; China; Zhejiang; Zhoushan Islands",,Article,"Final",,Scopus,2-s2.0-85061272778
"Nguyen H., Kalra M., Azam M., Bouguila N.","57212566409;57211276449;57212280326;6603545988;","Data clustering using online variational learning of finite scaled dirichlet mixture models",2019,"Proceedings - 2019 IEEE 20th International Conference on Information Reuse and Integration for Data Science, IRI 2019",,, 8843488,"267","274",,,"10.1109/IRI.2019.00050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073243489&doi=10.1109%2fIRI.2019.00050&partnerID=40&md5=18566cb34865c5cd7180f58d2eff981b","Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada","Nguyen, H., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada; Kalra, M., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada; Azam, M., Department of Electrical and Computer Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada; Bouguila, N., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, QC  H3G 1M8, Canada","Finite mixture model; Image clustering; Online learning; Scaled Dirichlet distribution; Spam detection; Unsupervised learning; Variational inference","Anomaly detection; Cluster analysis; Clustering algorithms; Data integration; Information analysis; Information use; Machine learning; Mixtures; Unsupervised learning; Dirichlet distributions; Finite mixture modeling; Image clustering; Online learning; Spam detection; Variational inference; E-learning",,Conference Paper,"Final",,Scopus,2-s2.0-85073243489
"Widanage C., Li J., Tyagi S., Teja R., Peng B., Kamburugamuve S., Baum D., Smith D., Qiu J., Koskey J.","57209656431;57211032938;57201194039;36175242300;57190228775;55370743300;57211028498;57211031017;36185905500;57211030777;","Anomaly detection over streaming data: Indy500 case study",2019,"IEEE International Conference on Cloud Computing, CLOUD","2019-July",, 8814502,"9","16",,,"10.1109/CLOUD.2019.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072325086&doi=10.1109%2fCLOUD.2019.00015&partnerID=40&md5=2261faf405601fe15bdca17b5e681b94","Department of Intelligent Systems Engineering, Indiana University, United States","Widanage, C., Department of Intelligent Systems Engineering, Indiana University, United States; Li, J., Department of Intelligent Systems Engineering, Indiana University, United States; Tyagi, S., Department of Intelligent Systems Engineering, Indiana University, United States; Teja, R., Department of Intelligent Systems Engineering, Indiana University, United States; Peng, B., Department of Intelligent Systems Engineering, Indiana University, United States; Kamburugamuve, S., Department of Intelligent Systems Engineering, Indiana University, United States; Baum, D., Department of Intelligent Systems Engineering, Indiana University, United States; Smith, D., Department of Intelligent Systems Engineering, Indiana University, United States; Qiu, J., Department of Intelligent Systems Engineering, Indiana University, United States; Koskey, J., Department of Intelligent Systems Engineering, Indiana University, United States","Anomaly detection; Big data; Edge computing; Neuro morphic computing; Stream processing","Big data; Cloud computing; Data handling; Edge computing; Information analysis; Internet of things; Racing automobiles; Internet of thing (IOT); Morphic; Real time data analysis; Retrospective analysis; Service level objective; Stream processing; Stream processing engines; Streaming applications; Anomaly detection",,Conference Paper,"Final",,Scopus,2-s2.0-85072325086
"Tavares G.M., Ceravolo P., Da Costa V.G.T., Damiani E., Junior S.B.","57200260509;6506416314;57195469727;57195375517;57212740985;","Overlapping analytic stages in online process mining",2019,"Proceedings - 2019 IEEE International Conference on Services Computing, SCC 2019 - Part of the 2019 IEEE World Congress on Services",,, 8813959,"167","175",,,"10.1109/SCC.2019.00037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072572058&doi=10.1109%2fSCC.2019.00037&partnerID=40&md5=b38a2244d0ce756847fe9645f1d469a1","Londrina State University (UEL), Londrina, Brazil; Università degli Studi di Milano (UNIMI), Crema, Italy; Khalifa University (KUST), Abu Dhabi, United Arab Emirates","Tavares, G.M., Londrina State University (UEL), Londrina, Brazil; Ceravolo, P., Università degli Studi di Milano (UNIMI), Crema, Italy; Da Costa, V.G.T., Londrina State University (UEL), Londrina, Brazil; Damiani, E., Khalifa University (KUST), Abu Dhabi, United Arab Emirates; Junior, S.B., Londrina State University (UEL), Londrina, Brazil","Anomaly detection; Clustering; Concept Drift; Process Mining; Stream Mining","Anomaly detection; Clustering; Clustering approach; Concept drifts; Conformance checking; Process enhancements; Process mining; Real-time process; Stream mining; Data mining",,Conference Paper,"Final",,Scopus,2-s2.0-85072572058
"Bagozi A., Bianchini D.","57194615071;12647011000;","IDEAaS: Interactive data exploration as-a service",2019,"Proceedings - 2019 IEEE World Congress on Services, SERVICES 2019",,, 8817138,"345","348",,,"10.1109/SERVICES.2019.00096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072763330&doi=10.1109%2fSERVICES.2019.00096&partnerID=40&md5=a5f7d2f68636d79fbcac75f3c9103ba7","Dept. of Information Engineering, University of Brescia, Via Branze, 38, Brescia, 25123, Italy","Bagozi, A., Dept. of Information Engineering, University of Brescia, Via Branze, 38, Brescia, 25123, Italy; Bianchini, D., Dept. of Information Engineering, University of Brescia, Via Branze, 38, Brescia, 25123, Italy","Big data; Data exploration; Industry 4.0; Internet of Services; Internet of Things; Service oriented architecture","Anomaly detection; Big data; Clustering algorithms; Industry 4.0; Information services; Internet of things; Real time systems; Remote control; Service oriented architecture (SOA); Data exploration; Incremental clustering algorithm; Interactive data exploration; Internet of Services; Large amounts of data; Relevance evaluation; Remote monitoring; Strategic business; Web services",,Conference Paper,"Final",,Scopus,2-s2.0-85072763330
"Santos E.C.","57118891000;","Clustering-Based Resource Allocation mechanism in Long Term Evolution Advanced networks with auto-encoder for feature learning",2019,"Transactions on Emerging Telecommunications Technologies","30","7", e3591,"","",,,"10.1002/ett.3591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068978340&doi=10.1002%2fett.3591&partnerID=40&md5=77a1da0c1d0e1685b1c7581cbd00926d","CERCOMP, Federal University of Catalão, Catalão, Brazil","Santos, E.C., CERCOMP, Federal University of Catalão, Catalão, Brazil",,"Deterioration; Feature extraction; Machine learning; Mathematical transformations; Network coding; Quality of service; Resource allocation; Allocation mechanism; Cluster formations; Curse of dimensionality; Feature engineerings; Non-linear correlations; Quality of Service parameters; System information; Traffic flow information; Long Term Evolution (LTE)","Santos, E.C.; CERCOMP, Federal University of CatalãoBrazil; email: einar@ufg.br",Article,"Final",,Scopus,2-s2.0-85068978340
"Thakur D., Kaur R.","57211288767;57194088852;","An optimized CNN based real world anomaly detection in surveillance videos",2019,"International Journal of Innovative Technology and Exploring Engineering","8","9 Special Issue",,"465","473",,,"10.35940/ijitee.I1074.0789S19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073386463&doi=10.35940%2fijitee.I1074.0789S19&partnerID=40&md5=a1d78130dba3fd37f41d66a7a7524f5c","CSE Deptt, Chandigarh University, Gharuan, India","Thakur, D., CSE Deptt, Chandigarh University, Gharuan, India; Kaur, R., CSE Deptt, Chandigarh University, Gharuan, India","Anomaly Detection System (ADS); Convolutional Neural Network (CNN); Genetic Algorithm (GA); MSER Feature Extraction; Pattern recognition",,,Article,"Final",Open Access,Scopus,2-s2.0-85073386463
"Nur N., Sridhar S., Pal S., Ashok A., Amatya V.C.","57209644763;57198162497;56353266700;36602222900;57204047227;","A clustering approach for consumer baselining and anomaly detection in transactive control",2019,"e-Energy 2019 - Proceedings of the 10th ACM International Conference on Future Energy Systems",,,,"516","521",,,"10.1145/3307772.3331028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068686732&doi=10.1145%2f3307772.3331028&partnerID=40&md5=3a9098b585acf9bf5e599644f4f17bbc","University of North Carolina at Charlotte, Charlotte, NC, United States; Pacific Northwest National Laboratory, Richland, WA, United States","Nur, N., University of North Carolina at Charlotte, Charlotte, NC, United States; Sridhar, S., Pacific Northwest National Laboratory, Richland, WA, United States; Pal, S., Pacific Northwest National Laboratory, Richland, WA, United States; Ashok, A., Pacific Northwest National Laboratory, Richland, WA, United States; Amatya, V.C., Pacific Northwest National Laboratory, Richland, WA, United States","Anomaly Detection; Clustering; Transactive Control","Anomaly detection; Commerce; Control systems; Digital devices; Electric power system control; Electric power transmission networks; Interactive computer systems; Real time systems; Clustering; Clustering techniques; Grid infrastructures; Market participations; Operational efficiencies; Smart grid applications; Smart Grid technologies; Transactive controls; Smart power grids",,Conference Paper,"Final",,Scopus,2-s2.0-85068686732
"Dunaev M., Zaytsev K.","57201336024;56444156200;","Logs analysis to search for anomalies in the functioning of large technology platforms",2019,"Journal of Theoretical and Applied Information Technology","97","11",,"3111","3123",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069640636&partnerID=40&md5=1467869f5fb786064951168f073c5ff4","National Research Nuclear University MEPhI, Kashirskoe Avenue 31, Moscow, 115409, Russian Federation","Dunaev, M., National Research Nuclear University MEPhI, Kashirskoe Avenue 31, Moscow, 115409, Russian Federation; Zaytsev, K., National Research Nuclear University MEPhI, Kashirskoe Avenue 31, Moscow, 115409, Russian Federation","Anomaly detection; Apache software foundation; Apache spark; Clusterization; Deep learning; Elliptic envelope; Isolation forest; K-Means; Logs; Machine learning; One-Class SVM; Technological platform",,,Article,"Final",,Scopus,2-s2.0-85069640636
"Wilbur M., Dubey A., Leao B., Bhattacharjee S.","57210552279;57198233972;24544551400;7102306204;","A decentralized approach for real time anomaly detection in transportation networks",2019,"Proceedings - 2019 IEEE International Conference on Smart Computing, SMARTCOMP 2019",,, 8783999,"274","282",,,"10.1109/SMARTCOMP.2019.00063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070918258&doi=10.1109%2fSMARTCOMP.2019.00063&partnerID=40&md5=7de871894f77a8bf6ac339969fe42f94","Department of Electrical Engineering and Computer Science, Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN  37240, United States; Business Analytics and Monitoring, Siemens Corporate Technology, Princeton, NJ, United States; Department of Computer Science, Western Michigan University, Kalamazoo, MI  40998, United States","Wilbur, M., Department of Electrical Engineering and Computer Science, Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN  37240, United States; Dubey, A., Department of Electrical Engineering and Computer Science, Institute for Software Integrated Systems, Vanderbilt University, Nashville, TN  37240, United States; Leao, B., Business Analytics and Monitoring, Siemens Corporate Technology, Princeton, NJ, United States; Bhattacharjee, S., Department of Computer Science, Western Michigan University, Kalamazoo, MI  40998, United States","Anomaly Detection; Decentralized; Smart Cities; Transportation","Clustering algorithms; Internet of things; Low power electronics; Smart city; Transportation; Anomaly detection frameworks; Anomaly detection methods; Data-driven applications; Decentralized; Experimental validations; Internet of Things (IOT); Real-time anomaly detections; Transportation resources; Anomaly detection",,Conference Paper,"Final",,Scopus,2-s2.0-85070918258
"Shi W., Lu N., Jiang B., Zhi Y., Xu Z.","57211241425;7101614640;57209530434;57211237977;57203102440;","An Unsupervised Anomaly Detection Method Based on Density Peak Clustering for Rail Vehicle Door System",2019,"Proceedings of the 31st Chinese Control and Decision Conference, CCDC 2019",,, 8833427,"1954","1959",,,"10.1109/CCDC.2019.8833427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073104470&doi=10.1109%2fCCDC.2019.8833427&partnerID=40&md5=3ae2395c7498b4fa29170e9ac55d870c","Nanjing University of Aeronautics Astronautics, Nanjing, 211106, China; Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China","Shi, W., Nanjing University of Aeronautics Astronautics, Nanjing, 211106, China, Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China; Lu, N., Nanjing University of Aeronautics Astronautics, Nanjing, 211106, China, Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China; Jiang, B., Nanjing University of Aeronautics Astronautics, Nanjing, 211106, China, Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China; Zhi, Y., Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China; Xu, Z., Nanjing Kangni Mechanical Electrical Co. Ltd., Nanjing, 210009, China","Anomaly detection; Condition-based maintenance; Density Peak Clustering (DPC); Rail Vehicle Door System (RVDS); Unsupervised machine learning",,,Conference Paper,"Final",,Scopus,2-s2.0-85073104470
"Anandharaj A., Sivakumar P.B.","57211155457;57195232098;","Anomaly Detection in Time Series data using Hierarchical Temporal Memory Model",2019,"Proceedings of the 3rd International Conference on Electronics and Communication and Aerospace Technology, ICECA 2019",,, 8821966,"1287","1292",,,"10.1109/ICECA.2019.8821966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072839082&doi=10.1109%2fICECA.2019.8821966&partnerID=40&md5=ca4ec3f012340d39eded2ace8e219e2e","Dept. of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India","Anandharaj, A., Dept. of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India; Sivakumar, P.B., Dept. of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India","Anomaly Detection; Bio-inspired Machine Learning; Biological Machine intelligence; Hierarchical temporal memory; Time Series data","Artificial intelligence; Batch data processing; Biomimetics; Electronic trading; Time series; Bio-inspired machines; Biological machines; Data driven; Human intervention; Large amounts of data; Real-world; Temporal memory; Time-series data; Anomaly detection",,Conference Paper,"Final",,Scopus,2-s2.0-85072839082
"Sun A.Y., Zhong Z., Jeong H., Yang Q.","9279316500;57190252243;55621251200;57206664359;","Building complex event processing capability for intelligent environmental monitoring",2019,"Environmental Modelling and Software","116",,,"1","6",,4,"10.1016/j.envsoft.2019.02.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061785554&doi=10.1016%2fj.envsoft.2019.02.015&partnerID=40&md5=05b0aa60b1821bb0b63b117387e4dc4a","Bureau of Economic Geology, Jackson School of Geosciences, The University of Texas at Austin, Austin, TX, United States; Department of Energy Resources Engineering, College of Engineering, Seoul National University, Gwanak-ro, Gwanak-gu, Seoul, South Korea","Sun, A.Y., Bureau of Economic Geology, Jackson School of Geosciences, The University of Texas at Austin, Austin, TX, United States; Zhong, Z., Bureau of Economic Geology, Jackson School of Geosciences, The University of Texas at Austin, Austin, TX, United States; Jeong, H., Department of Energy Resources Engineering, College of Engineering, Seoul National University, Gwanak-ro, Gwanak-gu, Seoul, South Korea; Yang, Q., Bureau of Economic Geology, Jackson School of Geosciences, The University of Texas at Austin, Austin, TX, United States","Anomaly detection; Complex event processing; Geological carbon sequestration; Intelligent monitoring; Machine learning","Anomaly detection; Engines; Environmental engineering; Geology; Learning systems; Predictive analytics; Preventive maintenance; Real time systems; Scalability; Carbon sequestration; Complex event processing; Complex event processing (CEP); Environmental applications; Environmental monitoring system; Intelligent environmental monitoring; Intelligent monitoring; Intelligent monitoring systems; Monitoring; anomaly; carbon sequestration; data management; environmental monitoring; machine learning; software; World Wide Web","Sun, A.Y.; Bureau of Economic Geology, Jackson School of Geosciences, The University of Texas at AustinUnited States; email: alex.sun@beg.utexas.edu",Article,"Final",,Scopus,2-s2.0-85061785554
"Mason A., Zhao Y., He H., Gompelman R., Mandava S.","57212086977;57196243255;55214926700;57212090382;57212079225;","Online anomaly detection of time series at scale",2019,"2019 International Conference on Cyber Situational Awareness, Data Analytics and Assessment, Cyber SA 2019",,, 8899398,"","",,,"10.1109/CyberSA.2019.8899398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075891162&doi=10.1109%2fCyberSA.2019.8899398&partnerID=40&md5=89b59e2df599f209c8e119d5f7c56191","Cranfield University, SATM, Cranfield, United Kingdom; IDirect, Cranfield, United Kingdom","Mason, A., Cranfield University, SATM, Cranfield, United Kingdom; Zhao, Y., Cranfield University, SATM, Cranfield, United Kingdom; He, H., Cranfield University, SATM, Cranfield, United Kingdom; Gompelman, R., IDirect, Cranfield, United Kingdom; Mandava, S., IDirect, Cranfield, United Kingdom","Cloud platforms; Cyber Situation Awareness; Non-parametric methods; Parametric methods; Streaming platforms; Time-series data analysis","Anomaly detection; Data handling; Information analysis; Cloud platforms; Nonparametric methods; Parametric method; Situation awareness; Time series data analysis; Time series analysis",,Conference Paper,"Final",,Scopus,2-s2.0-85075891162
"Peddoju S.K., Upadhyay H., Bhansali S.","57193702620;55391777900;7006527220;","Health monitoring with low power IoT devices using anomaly detection algorithm",2019,"2019 4th International Conference on Fog and Mobile Edge Computing, FMEC 2019",,, 8795327,"278","282",,,"10.1109/FMEC.2019.8795327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071687948&doi=10.1109%2fFMEC.2019.8795327&partnerID=40&md5=94cdd713795af818474172bbe69daa8b","Applied Research Center, Florida International University, Miami, United States; Electrical and Computer Engineering, Florida International University, Miami, United States","Peddoju, S.K., Applied Research Center, Florida International University, Miami, United States; Upadhyay, H., Applied Research Center, Florida International University, Miami, United States; Bhansali, S., Electrical and Computer Engineering, Florida International University, Miami, United States","Anomaly Detection; Edge Computing; Healthcare; Internet of Things; Wearable Devices","Anomaly detection; Display devices; Edge computing; Gateways (computer networks); Health care; Machine learning; Patient treatment; Signal detection; Wearable technology; Anomaly-detection algorithms; Glucose monitors; Health monitoring; Healthcare industry; Internet of thing (IOT); Machine learning models; Patient condition; Wearable devices; Internet of things",,Conference Paper,"Final",,Scopus,2-s2.0-85071687948
"Liu C.-T., Ma S.-X., Wang H., Wang Y., Li H.-C.","36701658200;57207449013;57208732622;57211417330;24721807700;","A Density-Based Cluster Kernel RX Algorithm for Hyperspectral Anomaly Detection [基于空间密度聚类的改进KRX高光谱异常检测]",2019,"Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis","39","6",,"1878","1884",,,"10.3964/j.issn.1000-0593(2019)06-1878-07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072259016&doi=10.3964%2fj.issn.1000-0593%282019%2906-1878-07&partnerID=40&md5=616bf59b4968dfb2644c27f3503d01ef","Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China","Liu, C.-T., Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China; Ma, S.-X., Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China; Wang, H., Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China; Wang, Y., Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China; Li, H.-C., Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of Engineering, Xi'an, 710025, China","Anomaly detection; Density cluster; Hyperspectral imagery; Kernel RX; Singular value decomposition","Anomaly detection; Computation theory; Computational efficiency; Efficiency; Eigenvalues and eigenfunctions; Errors; Inverse problems; Pixels; Remote sensing; Singular value decomposition; Spectroscopy; Density clusters; High-dimensional feature space; Hyper-spectral imageries; Hyperspectral anomaly detection; Hyperspectral Remote Sensing Image; Ill-conditioned matrices; Kernel RX; New clustering algorithms; Clustering algorithms","Ma, S.-X.; Key Laboratory of Missile Launching and Orientation Aiming Technology of PLA, Rocket Force University of EngineeringChina; email: aheadb@sina.com",Article,"Final",,Scopus,2-s2.0-85072259016
